GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
EventManagement,com.example.eventmanagement.exception,GlobalExceptionHandler,48,130,0,6,7,31,2,11,2,8
EventManagement,com.example.eventmanagement.exception,EntityNotFoundException,9,4,0,0,4,2,2,1,2,1
EventManagement,com.example.eventmanagement.exception,DuplicateEntityException,9,4,0,0,4,2,2,1,2,1
EventManagement,com.example.eventmanagement.exception,GlobalExceptionHandler.ErrorResponse,0,9,0,0,0,1,0,1,0,1
EventManagement,com.example.eventmanagement.exception,OperationNotAllowedException,13,0,0,0,6,0,3,0,3,0
EventManagement,com.example.eventmanagement.exception,BusinessValidationException,9,4,0,0,4,2,2,1,2,1
EventManagement,com.example.eventmanagement,EventManagementApplication,5,3,0,0,2,1,1,1,1,1
EventManagement,com.example.eventmanagement.enums,BookingStatus,2,66,1,5,0,13,1,6,0,4
EventManagement,com.example.eventmanagement.enums,EventStatus,3,79,2,6,0,15,2,7,0,5
EventManagement,com.example.eventmanagement.mapper,EventMapperImpl,8,170,4,6,4,53,4,6,0,5
EventManagement,com.example.eventmanagement.mapper,ClientMapperImpl,28,102,5,5,10,31,5,5,1,4
EventManagement,com.example.eventmanagement.mapper,TicketReservationMapperImpl,12,206,6,8,6,64,6,8,0,7
EventManagement,com.example.eventmanagement.controller,ClientController,0,151,0,0,0,32,0,9,0,9
EventManagement,com.example.eventmanagement.controller,EventController,0,137,0,0,0,28,0,8,0,8
EventManagement,com.example.eventmanagement.controller,TicketReservationController,2,157,2,4,0,30,2,9,0,8
EventManagement,com.example.eventmanagement.dto,EventDoneDto,0,30,0,0,0,1,0,1,0,1
EventManagement,com.example.eventmanagement.dto,ClientDto,15,0,0,0,1,0,1,0,1,0
EventManagement,com.example.eventmanagement.dto,ClientCreateDto,0,12,0,0,0,1,0,1,0,1
EventManagement,com.example.eventmanagement.dto,PassportDto,12,0,0,0,1,0,1,0,1,0
EventManagement,com.example.eventmanagement.dto,ClientCreateWithDependenciesDto,0,15,0,0,0,1,0,1,0,1
EventManagement,com.example.eventmanagement.dto,TicketReservationDto,0,18,0,0,0,1,0,1,0,1
EventManagement,com.example.eventmanagement.dto,PassportDoneDto,18,0,0,0,1,0,1,0,1,0
EventManagement,com.example.eventmanagement.dto,ClientDoneDto,0,24,0,0,0,1,0,1,0,1
EventManagement,com.example.eventmanagement.dto,EventStatisticsDto,0,27,0,0,0,1,0,1,0,1
EventManagement,com.example.eventmanagement.dto,EventDto,0,24,0,0,0,1,0,1,0,1
EventManagement,com.example.eventmanagement.dto,TicketReservationDoneDto,0,24,0,0,0,1,0,1,0,1
EventManagement,com.example.eventmanagement.dto,EventWithReservationCountDto,9,0,0,0,1,0,1,0,1,0
EventManagement,com.example.eventmanagement.dto,CleanupResponse,0,9,0,0,0,1,0,1,0,1
EventManagement,com.example.eventmanagement.dto,EventCreateDto,0,18,0,0,0,1,0,1,0,1
EventManagement,com.example.eventmanagement.dto,TicketReservationCreateDto,0,15,0,0,0,1,0,1,0,1
EventManagement,com.example.eventmanagement.dto,PassportCreateDto,0,9,0,0,0,1,0,1,0,1
EventManagement,com.example.eventmanagement.converter,EventStatusConverter,0,17,0,4,0,4,0,5,0,3
EventManagement,com.example.eventmanagement.converter,BookingStatusConverter,0,17,0,4,0,4,0,5,0,3
EventManagement,com.example.eventmanagement.service,TicketReservationService,155,296,7,11,10,60,12,12,5,10
EventManagement,com.example.eventmanagement.service,ClientService,40,323,3,9,4,67,5,15,2,12
EventManagement,com.example.eventmanagement.service,EventService,27,310,9,21,2,46,9,18,1,11
EventManagement,com.example.eventmanagement.entity,TicketReservation,0,183,0,14,0,58,0,31,0,24
EventManagement,com.example.eventmanagement.entity,Event,0,291,4,30,0,83,4,43,0,30
EventManagement,com.example.eventmanagement.entity,Passport,0,108,0,8,0,33,0,21,0,17
EventManagement,com.example.eventmanagement.entity,Client,0,266,4,26,0,76,4,38,0,27
